"File_240203_041534 - RawData"
"Wavelength nm.","Abs."
357.00,-0.000
358.00,-0.002
359.00,-0.001
360.00,0.000
361.00,-0.000
362.00,0.000
363.00,-0.000
364.00,-0.001
365.00,-0.002
366.00,0.001
367.00,-0.000
368.00,-0.000
369.00,0.001
370.00,0.001
371.00,0.001
372.00,-0.001
373.00,0.000
374.00,-0.000
375.00,-0.002
376.00,-0.002
377.00,0.000
378.00,0.003
379.00,-0.001
380.00,-0.001
381.00,-0.000
382.00,-0.000
383.00,0.000
384.00,-0.001
385.00,0.001
386.00,-0.000
387.00,-0.001
388.00,-0.001
389.00,-0.001
390.00,0.000
391.00,-0.004
392.00,0.001
393.00,-0.001
394.00,-0.001
395.00,-0.001
396.00,0.000
397.00,-0.000
398.00,-0.001
399.00,0.000
400.00,-0.000
401.00,-0.001
402.00,0.001
403.00,-0.001
404.00,-0.001
405.00,-0.002
406.00,-0.000
407.00,0.001
408.00,0.000
409.00,-0.002
410.00,-0.001
411.00,-0.001
412.00,-0.001
413.00,0.001
414.00,-0.002
415.00,0.000
416.00,-0.001
417.00,-0.000
418.00,0.000
419.00,-0.001
420.00,-0.001
421.00,-0.001
422.00,-0.001
423.00,-0.001
424.00,0.000
425.00,-0.001
426.00,-0.000
427.00,-0.000
428.00,-0.001
429.00,0.000
430.00,-0.000
431.00,-0.000
432.00,-0.000
433.00,0.001
434.00,-0.000
435.00,0.001
436.00,0.000
437.00,-0.001
438.00,-0.000
439.00,0.000
440.00,0.001
441.00,0.000
442.00,0.000
443.00,-0.000
444.00,0.001
445.00,-0.000
446.00,0.000
447.00,-0.000
448.00,0.000
449.00,0.000
450.00,-0.000
451.00,-0.000
452.00,-0.000
453.00,-0.000
454.00,0.000
455.00,0.000
456.00,0.000
457.00,0.000
458.00,0.000
459.00,-0.000
460.00,0.000
461.00,0.000
462.00,0.000
463.00,0.000
464.00,0.000
465.00,0.000
466.00,0.000
467.00,-0.000
468.00,-0.000
469.00,0.000
470.00,0.000
471.00,0.000
472.00,0.000
473.00,-0.000
474.00,0.000
475.00,0.000
476.00,0.000
477.00,0.000
478.00,0.000
479.00,0.000
480.00,0.000
481.00,0.000
482.00,-0.000
483.00,0.000
484.00,-0.000
485.00,0.000
486.00,0.000
487.00,0.000
488.00,0.001
489.00,0.000
490.00,-0.000
491.00,0.000
492.00,0.000
493.00,0.000
494.00,0.000
495.00,-0.000
496.00,0.000
497.00,0.000
498.00,0.000
499.00,0.000
500.00,0.000
501.00,0.000
502.00,0.000
503.00,0.000
504.00,0.000
505.00,0.000
506.00,-0.000
507.00,0.000
508.00,0.000
509.00,-0.000
510.00,-0.000
511.00,0.000
512.00,0.000
513.00,-0.000
514.00,0.000
515.00,0.000
516.00,0.000
517.00,0.000
518.00,0.000
519.00,0.000
520.00,0.000
521.00,0.000
522.00,0.000
523.00,-0.000
524.00,0.000
525.00,0.000
526.00,0.000
527.00,0.000
528.00,-0.000
529.00,0.000
530.00,0.000
531.00,0.000
532.00,0.000
533.00,0.000
534.00,-0.000
535.00,0.000
536.00,0.000
537.00,0.000
538.00,-0.000
539.00,0.000
540.00,0.000
541.00,0.000
542.00,0.000
543.00,0.000
544.00,0.000
545.00,0.000
546.00,0.000
547.00,0.000
548.00,0.000
549.00,0.000
550.00,0.000
551.00,0.000
552.00,0.000
553.00,0.000
554.00,0.000
555.00,0.000
556.00,-0.000
557.00,-0.000
558.00,0.000
559.00,0.000
560.00,0.000
561.00,0.000
562.00,0.000
563.00,-0.000
564.00,0.000
565.00,0.000
566.00,0.000
567.00,0.000
568.00,0.000
569.00,0.000
570.00,0.000
571.00,0.000
572.00,0.000
573.00,0.000
574.00,0.000
575.00,-0.000
576.00,0.000
577.00,0.000
578.00,0.000
579.00,0.000
580.00,0.000
581.00,0.000
582.00,0.000
583.00,0.000
584.00,0.000
585.00,0.000
586.00,0.000
587.00,-0.000
588.00,-0.000
589.00,-0.000
590.00,0.000
591.00,-0.000
592.00,0.000
593.00,0.000
594.00,0.000
595.00,0.000
596.00,0.000
597.00,-0.000
598.00,0.000
599.00,0.000
600.00,0.000
601.00,0.000
602.00,0.000
603.00,0.000
604.00,0.000
605.00,0.000
606.00,0.000
607.00,0.000
608.00,0.000
609.00,0.000
610.00,0.000
611.00,0.000
612.00,0.000
613.00,0.000
614.00,0.000
615.00,0.000
616.00,0.000
617.00,0.000
618.00,0.000
619.00,0.000
620.00,0.000
621.00,0.000
622.00,0.000
623.00,0.000
624.00,0.000
625.00,0.000
626.00,0.000
627.00,0.000
628.00,0.000
629.00,0.000
630.00,0.000
631.00,0.000
632.00,0.000
633.00,0.000
634.00,0.000
635.00,0.000
636.00,0.000
637.00,0.000
638.00,0.000
639.00,0.000
640.00,0.000
641.00,0.000
642.00,0.000
643.00,0.000
644.00,0.000
645.00,0.000
646.00,0.000
647.00,0.000
648.00,0.000
649.00,0.000
650.00,0.000
651.00,0.000
652.00,0.000
653.00,0.000
654.00,0.000
655.00,0.000
656.00,0.000
657.00,0.000
658.00,0.000
659.00,0.000
660.00,0.000
661.00,0.000
662.00,0.000
663.00,0.000
664.00,0.000
665.00,0.000
666.00,0.000
667.00,0.000
668.00,0.001
669.00,0.000
670.00,0.000
671.00,0.001
672.00,0.001
673.00,0.001
674.00,0.001
675.00,0.001
676.00,0.000
677.00,0.000
678.00,0.000
679.00,0.000
680.00,0.001
681.00,0.000
682.00,0.000
683.00,0.000
684.00,0.001
685.00,0.000
686.00,0.000
687.00,0.000
688.00,0.000
689.00,0.000
690.00,0.000
691.00,0.001
692.00,0.000
693.00,0.000
694.00,0.000
695.00,0.000
696.00,0.000
697.00,0.001
698.00,0.000
699.00,0.000
700.00,0.000
701.00,0.000
702.00,0.000
703.00,0.000
704.00,0.000
705.00,0.000
706.00,0.000
707.00,0.000
708.00,0.000
709.00,0.000
710.00,0.000
711.00,0.001
712.00,0.000
713.00,0.000
714.00,0.000
715.00,0.000
716.00,0.000
717.00,0.000
718.00,0.001
719.00,0.000
720.00,0.000
721.00,0.000
722.00,0.000
723.00,0.000
724.00,0.000
725.00,0.000
726.00,0.000
727.00,0.001
728.00,0.001
729.00,0.000
730.00,0.000
731.00,0.000
732.00,0.000
733.00,0.000
734.00,0.000
735.00,0.000
736.00,0.000
737.00,0.000
738.00,0.001
739.00,0.000
740.00,0.000
741.00,0.000
742.00,0.000
743.00,0.000
744.00,0.000
745.00,0.000
746.00,0.001
747.00,0.000
748.00,0.000
749.00,0.000
750.00,0.000
751.00,0.000
752.00,0.000
753.00,0.000
754.00,0.001
755.00,0.000
756.00,0.000
757.00,0.000
758.00,0.000
759.00,0.001
760.00,0.000
761.00,0.001
762.00,0.000
763.00,0.000
764.00,0.000
765.00,0.000
766.00,0.001
767.00,0.000
768.00,0.000
769.00,0.000
770.00,0.000
771.00,0.000
772.00,0.000
773.00,0.000
774.00,0.000
775.00,0.000
776.00,0.000
777.00,0.001
778.00,0.000
779.00,0.001
780.00,0.001
781.00,0.001
782.00,0.000
783.00,0.001
784.00,0.001
785.00,0.000
786.00,0.001
787.00,0.000
788.00,0.001
789.00,0.001
790.00,0.001
791.00,0.001
792.00,0.001
793.00,0.001
794.00,0.001
795.00,0.001
796.00,0.001
797.00,0.001
798.00,0.001
799.00,0.001
800.00,0.001
